Time String,Event String,Event data String
13-03-2025 16:04:17,Start Pre-Purge,0.602984
13-03-2025 16:04:17,Start Pre-Purge,0.704151
13-03-2025 16:04:17,Start Pre-Purge,0.804971
13-03-2025 16:04:17,Start Pre-Purge,0.905077
13-03-2025 16:04:17,Start Pre-Purge,1.004744
13-03-2025 16:04:17,Start Pre-Purge,1.106435
13-03-2025 16:04:17,Start Pre-Purge,1.207217
13-03-2025 16:04:17,Start Pre-Purge,1.307452
13-03-2025 16:04:17,Start Pre-Purge,1.407946
13-03-2025 16:04:17,Start Pre-Purge,1.508057
13-03-2025 16:04:17,Start Pre-Purge,1.608262
13-03-2025 16:04:17,Start Pre-Purge,1.707996
13-03-2025 16:04:17,Start Pre-Purge,1.808823
13-03-2025 16:04:17,Start Pre-Purge,1.909222
13-03-2025 16:04:17,Start Pre-Purge,2.008723
13-03-2025 16:04:17,Start Pre-Purge,2.110468
13-03-2025 16:04:17,Start Pre-Purge,2.210568
13-03-2025 16:04:17,Start Pre-Purge,2.310641
13-03-2025 16:04:17,Start Pre-Purge,2.410244
13-03-2025 16:04:17,Start Pre-Purge,2.510492
13-03-2025 16:04:17,Start Pre-Purge,2.610996
13-03-2025 16:04:17,Start Pre-Purge,2.712416
13-03-2025 16:04:17,Start Pre-Purge,2.812904
13-03-2025 16:04:17,Start Pre-Purge,2.913516
13-03-2025 16:04:17,Start Pre-Purge,3.014123
13-03-2025 16:04:17,Start Pre-Purge,3.115641
13-03-2025 16:04:17,Start Pre-Purge,3.215135
13-03-2025 16:04:17,Start Pre-Purge,3.316458
13-03-2025 16:04:17,Start Pre-Purge,3.417498
13-03-2025 16:04:17,Start Pre-Purge,3.518219
13-03-2025 16:04:17,Start Pre-Purge,3.618006
13-03-2025 16:04:17,Start Pre-Purge,3.718313
13-03-2025 16:04:17,Start Pre-Purge,3.819386
13-03-2025 16:04:17,Start Pre-Purge,3.920492
13-03-2025 16:04:17,Start Pre-Purge,4.021068
13-03-2025 16:04:17,Start Pre-Purge,4.122007
13-03-2025 16:04:17,Start Pre-Purge,4.222363
13-03-2025 16:04:17,Start Pre-Purge,4.322598
13-03-2025 16:04:17,Start Pre-Purge,4.422254
13-03-2025 16:04:17,Start Pre-Purge,4.522769
13-03-2025 16:04:17,Start Pre-Purge,4.622711
13-03-2025 16:04:17,Start Pre-Purge,4.722650
13-03-2025 16:04:17,Start Pre-Purge,4.822424
13-03-2025 16:04:17,Start Pre-Purge,4.922199
13-03-2025 16:04:17,Start Pre-Purge,5.022509
13-03-2025 16:04:17,Start Pre-Purge,5.122220
13-03-2025 16:04:17,Start Pre-Purge,5.223020
13-03-2025 16:04:17,Start Pre-Purge,5.323331
13-03-2025 16:04:17,Start Pre-Purge,5.422948
13-03-2025 16:04:17,Start Pre-Purge,5.522794
13-03-2025 16:04:17,Start Pre-Purge,5.623194
13-03-2025 16:04:17,Start Pre-Purge,5.723025
13-03-2025 16:04:17,Start Pre-Purge,5.823144
13-03-2025 16:04:17,Start Pre-Purge,5.922944
13-03-2025 16:04:17,Start Pre-Purge,6.023518
13-03-2025 16:04:17,Start Pre-Purge,6.123599
13-03-2025 16:04:17,Start Pre-Purge,6.223363
13-03-2025 16:04:17,Start Pre-Purge,6.323293
13-03-2025 16:04:17,Start Pre-Purge,6.423279
13-03-2025 16:04:17,Start Pre-Purge,6.523005
13-03-2025 16:04:17,Start Pre-Purge,6.622789
13-03-2025 16:04:17,Start Pre-Purge,6.722734
13-03-2025 16:04:17,Start Pre-Purge,6.823794
13-03-2025 16:04:17,Start Pre-Purge,6.923848
13-03-2025 16:04:17,Start Pre-Purge,7.023861
13-03-2025 16:04:17,Start Pre-Purge,7.124198
13-03-2025 16:04:17,Start Pre-Purge,7.224318
13-03-2025 16:04:17,Start Pre-Purge,7.323969
13-03-2025 16:04:17,Start Pre-Purge,7.424393
13-03-2025 16:04:17,Start Pre-Purge,7.524867
13-03-2025 16:04:17,Start Pre-Purge,7.624811
13-03-2025 16:04:17,Start Pre-Purge,7.726317
13-03-2025 16:04:17,Start Pre-Purge,7.827256
13-03-2025 16:04:17,Start Pre-Purge,7.927148
13-03-2025 16:04:17,Start Pre-Purge,8.028468
13-03-2025 16:04:17,Start Pre-Purge,8.128676
13-03-2025 16:04:17,Start Pre-Purge,8.228875
13-03-2025 16:04:17,Start Pre-Purge,8.328906
13-03-2025 16:04:17,Start Pre-Purge,8.428719
13-03-2025 16:04:17,Start Pre-Purge,8.530199
13-03-2025 16:04:17,Start Pre-Purge,8.630922
13-03-2025 16:04:17,Start Pre-Purge,8.731197
13-03-2025 16:04:17,Start Pre-Purge,8.831869
13-03-2025 16:04:17,Start Pre-Purge,8.932424
13-03-2025 16:04:17,Start Pre-Purge,9.032173
13-03-2025 16:04:17,Start Pre-Purge,9.133175
13-03-2025 16:04:17,Start Pre-Purge,9.233974
13-03-2025 16:04:17,Start Pre-Purge,9.334287
13-03-2025 16:04:17,Start Pre-Purge,9.435257
13-03-2025 16:04:17,Start Pre-Purge,9.535300
13-03-2025 16:04:17,Start Pre-Purge,9.635600
13-03-2025 16:04:17,Start Pre-Purge,9.735508
13-03-2025 16:04:17,Start Pre-Purge,9.836346
13-03-2025 16:04:17,Start Pre-Purge,9.937790
13-03-2025 16:04:27,Pre-Purge Completed,10.040014
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:29,Pilot On,True
13-03-2025 16:04:32,Pilot Proved,40.816327
13-03-2025 16:04:32,Pilot Proved,40.816327
13-03-2025 16:04:32,Pilot Proved,40.816327
13-03-2025 16:04:32,Pilot Proved,40.816327
13-03-2025 16:04:32,Pilot Proved,40.816327
13-03-2025 16:04:32,Pilot Proved,40.816327
13-03-2025 16:04:33,Pilot Proved,41.836735
13-03-2025 16:04:33,Pilot Proved,46.938776
13-03-2025 16:04:33,Pilot Proved,46.938776
13-03-2025 16:04:33,Pilot Proved,47.959184
13-03-2025 16:04:33,Pilot Proved,48.979592
13-03-2025 16:04:33,Pilot Proved,50.000000
13-03-2025 16:04:33,Pilot Proved,51.020408
13-03-2025 16:04:33,Pilot Proved,53.061224
13-03-2025 16:04:33,Pilot Proved,53.061224
13-03-2025 16:04:34,Pilot Proved,54.081633
13-03-2025 16:04:34,Pilot Proved,54.081633
Time String,Event String,Event data String
13-03-2025 16:13:57,Boiler Initialized,0
13-03-2025 16:14:01,Boiler Ready,0
13-03-2025 16:14:01,Start Pre-Purge,0.000000
13-03-2025 16:14:01,Start Pre-Purge,0.096092
13-03-2025 16:14:01,Start Pre-Purge,0.196284
13-03-2025 16:14:01,Start Pre-Purge,0.295906
13-03-2025 16:14:01,Start Pre-Purge,0.396664
13-03-2025 16:14:01,Start Pre-Purge,0.497028
13-03-2025 16:14:01,Start Pre-Purge,0.597533
13-03-2025 16:14:01,Start Pre-Purge,0.698538
13-03-2025 16:14:01,Start Pre-Purge,0.799602
13-03-2025 16:14:01,Start Pre-Purge,0.899679
13-03-2025 16:14:01,Start Pre-Purge,1.001172
13-03-2025 16:14:01,Start Pre-Purge,1.100862
13-03-2025 16:14:01,Start Pre-Purge,1.200624
